cedula;nombre;edad;correo;telefono;haEstadoListaNegra;esPrePensionado;perteneceInsPublica;institucionPublica;tieneCondecoracion;tieneHijosInpec;tieneFamPolicia;esElMayorEdad;observacionDisciplinaria;semanasCot;ciudadNacimiento;ciudadResidencia;alcanzoEdadRPM;fondo;estado
1625332773;Luis Figueroa;88;sebastianlopez478@gmail.com;3151632679;true;true;true;armada;false;true;false;false;false;783;Cúcuta;Cúcuta;false;oldmutual;null
1640102912;Antonia Gonzalez;48;camilagutierrez550@gmail.com;3193330292;true;false;false;armada;true;true;true;false;true;205;Cúcuta;Medellín;false;colfondos;null
1151125216;Ludwin Hernandez;25;juanmartinez634@gmail.com;3100949396;true;false;true;armada;false;false;false;false;true;45;Cartagena;Manizales;true;porvenir;null
1055509482;Esteban Hernandez;73;juanmartinez623@gmail.com;3066157794;true;false;false;minsalud;true;false;false;true;true;305;Cartagena;Barranquilla;true;extranjero;null
1442607105;Luis Ramirez;67;luisramirez585@gmail.com;3078876416;true;true;false;policia;false;true;false;false;true;466;Cali;Manizales;true;proteccion;null
1605785672;David Ramirez;41;anahernandez517@gmail.com;3134049162;false;false;false;inpec;true;false;false;false;false;716;Armenia;Santa Marta;true;oldmutual;null
1784179568;Daniela Gonzalez;43;estebanfigueroa626@gmail.com;3180388695;false;true;true;mininterior;true;true;true;true;false;145;Manizales;Medellín;true;oldmutual;null
1625875927;Esteban Gonzalez;72;natalialopez159@gmail.com;3144270626;false;true;true;policia;false;true;true;true;false;188;Bucaramanga;Cali;true;colfondos;null
1533951315;Ludwin Martinez;49;estebanramirez691@gmail.com;3163148887;true;true;true;minsalud;true;false;true;true;true;1217;Santa Marta;Bucaramanga;false;colfondos;null
1751525211;Natalia Martinez;69;davidgutierrez104@gmail.com;3040737337;true;false;false;mininterior;false;true;true;false;true;870;Cartagena;Bucaramanga;true;colfondos;null
1265271572;Esteban Figueroa;59;anagutierrez754@gmail.com;3172262355;true;false;true;minsalud;false;true;false;true;true;584;Pereira;Manizales;true;porvenir;null
1538978362;Ana Lopez;62;mercedezarango671@gmail.com;3060949872;false;true;false;minsalud;false;true;false;false;false;1210;Manizales;Armenia;true;extranjero;null
1697321629;Camila Martinez;35;estebangonzalez49@gmail.com;3015852380;false;true;false;inpec;true;true;true;false;true;1193;Bucaramanga;Medellín;false;colfondos;null
1542682952;Ana Ramirez;28;luishernandez16@gmail.com;3101270833;true;true;false;minsalud;true;false;true;true;false;1129;Bogotá;Bucaramanga;true;oldmutual;null
1485164846;Mercedez Gonzalez;58;anaortiz992@gmail.com;3172608522;true;false;false;mininterior;true;true;false;false;false;979;Cúcuta;Medellín;true;proteccion;null
1199219766;Antonia Lopez;23;antonialopez748@gmail.com;3094687003;true;false;false;minsalud;true;true;false;false;true;129;Armenia;Bogotá;true;colfondos;null
1251489180;Natalia Figueroa;67;anafigueroa471@gmail.com;3026948035;false;false;true;inpec;true;true;false;false;true;1225;Manizales;Cali;true;porvenir;null
1150458029;David Lopez;87;sebastiangonzalez924@gmail.com;3037906738;false;false;false;minsalud;false;true;false;false;false;180;Armenia;Pereira;true;oldmutual;null
1817611846;Juan Ramirez;64;nataliahernandez682@gmail.com;3089727327;true;true;true;minsalud;false;true;true;true;false;291;Cartagena;Medellín;true;extranjero;null
1289370440;Ana Figueroa;60;danielafigueroa456@gmail.com;3059101175;true;true;true;inpec;false;true;false;false;false;749;Bucaramanga;Bucaramanga;true;oldmutual;null
1453022902;Natalia Arango;50;nataliaramirez623@gmail.com;3083420790;true;true;true;armada;false;false;false;false;true;1252;Pereira;Armenia;false;oldmutual;null
1340339183;Esteban Aristizabal;71;camilaaristizabal482@gmail.com;3048240517;true;true;false;mininterior;true;true;false;true;true;393;Armenia;Armenia;true;oldmutual;null
1894817507;Natalia Lopez;69;camilaaristizabal27@gmail.com;3177108468;true;false;true;minsalud;true;false;true;false;false;1152;Medellín;Manizales;false;oldmutual;null
1870513142;David Lopez;44;mercedezlopez509@gmail.com;3146260831;false;true;false;inpec;false;false;true;true;false;84;Barranquilla;Bogotá;false;porvenir;null
1062258553;Sebastian Hernandez;78;ludwinfigueroa651@gmail.com;3002979146;true;true;false;inpec;false;true;true;true;true;187;Santa Marta;Manizales;true;porvenir;null
1004768544;Ludwin Gonzalez;70;juanhernandez552@gmail.com;3158433360;true;true;false;minsalud;false;true;true;true;true;232;Pereira;Cartagena;true;proteccion;null
1085641488;Camila Figueroa;19;estebangonzalez316@gmail.com;3156003428;false;false;true;minsalud;true;false;false;false;true;193;Cúcuta;Bucaramanga;true;porvenir;null
1420774997;Natalia Ramirez;23;danielagonzalez736@gmail.com;3057098453;false;true;true;armada;false;true;false;true;true;43;Pereira;Barranquilla;true;oldmutual;null
1356838964;Camila Arango;50;anaramirez465@gmail.com;3150679038;true;false;false;mininterior;true;true;false;true;false;1125;Barranquilla;Cali;true;colfondos;null
1601863545;Esteban Ortiz;76;mercedezmartinez677@gmail.com;3063339105;false;false;true;minsalud;false;false;true;false;true;803;Bogotá;Pereira;false;porvenir;null
1008268328;Sebastian Ortiz;45;ludwinarango22@gmail.com;3140011317;false;false;true;mininterior;true;true;true;true;true;268;Cali;Cali;true;oldmutual;null
